Date,Open,High,Low,Close,Adj Close,Volume
2018-02-09,9064778.000000,9476741.000000,8595122.000000,9476741.000000,9476741.000000,7359290952369
2018-02-10,9458409.000000,9894956.000000,8997847.000000,9351917.000000,9351917.000000,8439774160879
2018-02-11,9345658.000000,9345658.000000,8602626.000000,8806302.000000,8806302.000000,6631494795461
2018-02-12,8818716.000000,9728067.000000,8817902.000000,9664351.000000,9664351.000000,6773534558130
2018-02-13,9664513.000000,9683210.000000,9160676.000000,9318762.000000,9318762.000000,6174048030072
2018-02-14,9320507.000000,10184267.000000,9318873.000000,10159159.000000,10159159.000000,8463428199083
2018-02-15,10152408.000000,10881332.000000,9987408.000000,10807392.000000,10807392.000000,9633933453160
2018-02-16,10774756.000000,11008897.000000,10451546.000000,10911282.000000,10911282.000000,7779092557459
2018-02-17,10883134.000000,11876824.000000,10821189.000000,11848250.000000,11848250.000000,9234144056621
2018-02-18,11859658.000000,12101043.000000,11009478.000000,11244736.000000,11244736.000000,9318228846834
2018-02-19,11245589.000000,12023282.000000,11240714.000000,11973466.000000,11973466.000000,8162101644906
2018-02-20,11980399.000000,12841874.000000,12006794.000000,12231495.000000,12231495.000000,10647107847510
2018-02-21,12197708.000000,12267465.000000,11265766.000000,11490470.000000,11490470.000000,10109235267251
2018-02-22,11458225.000000,11970468.000000,10760556.000000,10806801.000000,10806801.000000,8684411872944
2018-02-23,10733427.000000,11302478.000000,10511085.000000,11083983.000000,11083983.000000,8327702034430
2018-02-24,11069565.000000,11402587.000000,10272539.000000,10558864.000000,10558864.000000,7443692662782
2018-02-25,10540948.000000,10677384.000000,10121996.000000,10406112.000000,10406112.000000,6144719264033
2018-02-26,10411172.000000,11219249.000000,10171317.000000,11089156.000000,11089156.000000,7795569372826
2018-02-27,11118251.000000,11655769.000000,10994065.000000,11588689.000000,11588689.000000,7526748331722
2018-02-28,11547199.000000,12002379.000000,11279943.000000,11284321.000000,11284321.000000,7527500145407
2018-03-01,11270321.000000,11953394.000000,11240030.000000,11848106.000000,11848106.000000,7916711300628
2018-03-02,11876669.000000,12106498.000000,11721037.000000,11958789.000000,11958789.000000,8220254313399
2018-03-03,11975509.000000,12435354.000000,11868179.000000,12393825.000000,12393825.000000,7217051212189
2018-03-04,12402131.000000,12424052.000000,12012399.000000,12424052.000000,12424052.000000,6565831896502
2018-03-05,12445421.000000,12617605.000000,12350829.000000,12460625.000000,12460625.000000,6964482858436
2018-03-06,12381812.000000,12380432.000000,11362694.000000,11461298.000000,11461298.000000,7264031448692
2018-03-07,11486815.000000,11655110.000000,10334417.000000,10624793.000000,10624793.000000,9379891763554
2018-03-08,10609728.000000,10883594.000000,9996943.000000,10080094.000000,10080094.000000,7710099665632
2018-03-09,10101210.000000,10114795.000000,9097024.000000,9938701.000000,9938701.000000,9264566246073
2018-03-10,9952581.000000,10144947.000000,9396847.000000,9436793.000000,9436793.000000,5733091145360
2018-03-11,9422722.000000,10332091.000000,9161247.000000,10192141.000000,10192141.000000,6699652685771
2018-03-12,10217997.000000,10576581.000000,9529193.000000,9793051.000000,9793051.000000,6869833933737
2018-03-13,9758922.000000,10101107.000000,9525513.000000,9804928.000000,9804928.000000,6388651968387
2018-03-14,9826042.000000,9986434.000000,8577879.000000,8787003.000000,8787003.000000,6840876921202
2018-03-15,8809264.000000,8985042.000000,8290504.500000,8871545.000000,8871545.000000,7304297011199
2018-03-16,8895110.000000,9178213.000000,8564881.000000,8918115.000000,8918115.000000,5657150420276
2018-03-17,8900533.000000,8926865.000000,8356045.000000,8467341.000000,8467341.000000,4733900089713
2018-03-18,8439148.000000,8822283.000000,7912372.500000,8801229.000000,8801229.000000,7105460330821
2018-03-19,8930128.000000,9283788.000000,8757132.000000,9254387.000000,9254387.000000,7215422796854
2018-03-20,9242613.000000,9692646.000000,8969044.000000,9542493.000000,9542493.000000,6810741468914
2018-03-21,9568198.000000,9820612.000000,9471500.000000,9500397.000000,9500397.000000,6429648441591
2018-03-22,9511207.000000,9727749.000000,9235104.000000,9425438.000000,9425438.000000,5971991658776
2018-03-23,9433840.000000,9615474.000000,9007481.000000,9615474.000000,9615474.000000,6447538132314
2018-03-24,9639655.000000,9741693.000000,9383827.000000,9386447.000000,9386447.000000,6134025471307
2018-03-25,9326553.000000,9401575.000000,9149276.000000,9198806.000000,9198806.000000,4948037639296
2018-03-26,9201718.000000,9227841.000000,8511418.000000,8819359.000000,8819359.000000,6360973134488
2018-03-27,8809260.000000,8849333.000000,8344649.000000,8413390.000000,8413390.000000,5776724800283
2018-03-28,8417461.000000,8694092.000000,8387048.500000,8458078.000000,8458078.000000,5247743056783
2018-03-29,8484225.000000,8519558.000000,7521063.000000,7609615.500000,7609615.500000,6755308011596
2018-03-30,7615721.500000,7715370.000000,7084498.000000,7305674.000000,7305674.000000,6668452858751
2018-03-31,7307752.000000,7642123.000000,7277047.000000,7393685.000000,7393685.000000,4827604263040
2018-04-01,7424994.500000,7486372.500000,6920114.000000,7261454.000000,7261454.000000,4808376917850
2018-04-02,7262122.500000,7517218.000000,7206488.500000,7481626.000000,7481626.000000,4576805990399
2018-04-03,7501122.500000,7940849.000000,7484887.000000,7856577.500000,7856577.500000,5795089123029
2018-04-04,7856894.000000,7885952.000000,7194014.500000,7247593.000000,7247593.000000,5219573200001
2018-04-05,7242105.000000,7346729.000000,7038172.000000,7230648.000000,7230648.000000,5986363820737
2018-04-06,7235414.000000,7323114.000000,7024533.000000,7099203.000000,7099203.000000,4029545117312
2018-04-07,7092988.000000,7542315.000000,7092988.000000,7393138.500000,7393138.500000,4253978598848
2018-04-08,7402648.500000,7607591.500000,7402648.500000,7518889.000000,7518889.000000,3910110790743
2018-04-09,7541155.500000,7671605.000000,7120601.500000,7236962.500000,7236962.500000,5231065005802
2018-04-10,7263374.000000,7310251.500000,7144679.500000,7268015.000000,7268015.000000,4543599707571
2018-04-11,7277278.000000,7425790.000000,7268232.500000,7425790.000000,7425790.000000,4946629856847
2018-04-12,7412000.500000,8451702.000000,7294060.000000,8441182.000000,8441182.000000,9529331506786
2018-04-13,8453850.000000,8738096.000000,8304771.000000,8454046.000000,8454046.000000,8313252067058
2018-04-14,8431252.000000,8716095.000000,8400555.000000,8550708.000000,8550708.000000,5558360426575
2018-04-15,8564723.000000,8927779.000000,8564723.000000,8917729.000000,8917729.000000,5615107401601
2018-04-16,8926786.000000,8965251.000000,8495273.000000,8618183.000000,8618183.000000,6022291665080
2018-04-17,8632076.000000,8844185.000000,8403096.000000,8424339.000000,8424339.000000,7356959022740
2018-04-18,8469478.000000,8722623.000000,8402543.000000,8686450.000000,8686450.000000,6948281078321
2018-04-19,8682034.000000,8849309.000000,8680823.000000,8843973.000000,8843973.000000,7531288909636
2018-04-20,8836051.000000,9502735.000000,8786701.000000,9465923.000000,9465923.000000,9029621733578
2018-04-21,9469090.000000,9628300.000000,9258666.000000,9519160.000000,9519160.000000,8077703509092
2018-04-22,9550706.000000,9632655.000000,9403226.000000,9431044.000000,9431044.000000,7103340919001
2018-04-23,9422397.000000,9639310.000000,9398753.000000,9647136.000000,9647136.000000,7480590393551
2018-04-24,9650874.000000,10478420.000000,9622415.000000,10440619.000000,10440619.000000,11497116857431
2018-04-25,10444420.000000,10515201.000000,9535506.000000,9563749.000000,9563749.000000,11982715399989
2018-04-26,9587081.000000,9993309.000000,9417403.000000,9993309.000000,9993309.000000,9658511695136
2018-04-27,10003128.000000,10025284.000000,9586756.000000,9586756.000000,9586756.000000,8071188446365
2018-04-28,9535787.000000,10040159.000000,9528022.000000,9972305.000000,9972305.000000,8326339612132
2018-04-29,9970096.000000,10167527.000000,9807206.000000,10053832.000000,10053832.000000,9449603874939
2018-04-30,10061336.000000,10103579.000000,9794461.000000,9880828.000000,9880828.000000,9274935916804
2018-05-01,9892504.000000,9898516.000000,9513957.000000,9792266.000000,9792266.000000,8282472163512
2018-05-02,9776792.000000,9984545.000000,9682260.000000,9962510.000000,9962510.000000,8152760309132
